
               COMPENSAÇÃO GEODESICA DA REDE :  REDE DE GEODESIA (ZONA SUL)       
           DATUM :  Datum_73          ELIPSÓIDE  :HAYFORD 
           86        21 -  18                 1.288
           87        21 -  19                 -.213
           88        21 -  27                -1.331
           89        22 -  24                  .978
           90        22 -   7                 -.613
           91        22 -  15                -1.705
           92        22 -  25                  .917
           93        22 -   5                  .423
           94        23 -  20                 -.046
           95        23 -  18                 -.006
           96        23 -  17                  .245
           97        23 -   7                 -.388
           98        23 -  24                  .195
           99        24 -  23                  .772
          100        24 -   7                -1.231
          101        24 -  22                  .459
          102        25 -  15                 -.195
          103        25 -  16                  .415
          104        25 -   1                -1.147
          105        25 -   4                  .109
          106        25 -   5                  .560
          107        25 -  22                  .258
          108        26 -  27                  .406
          109        26 -   7                 -.354
          110        26 -  15                 -.051
          111        26 -  14                  .000
          112        27 -  21                 1.346
          113        27 -  19                -1.377
          114        27 -  17                 1.693
          115        27 -   7                -1.052
          116        27 -  26                 -.611
          117        28 -  16                 -.441
          118        28 -  13                  .228
          119        28 -  11                 -.055
          120        28 -  12                  .267


      COMPRIMENTO    ME   MV          RESÍDUOS

            1         6 -  11                 -.024
            2        18 -  19                  .016


        AZIMUTE      ME   MV          RESÍDUOS

            1        10 -   8                 -.183
            2        20 -  21                 -.071


            VARIANCIA DA UNIDADE DE PESO =  1.705

            NUMERO DE GRAUS DE LIBERDADE =    44


                  COORDENADAS COMPENSADAS


      PONTO   DELTA M    DELTA P         M            P

          1     4.9696    3.5247     11742.4866  -283760.6103
          2    24.4190   -2.8215     12391.3410  -287702.7535
          3    21.3777   -2.9763     11711.1137  -291768.4133
          4    14.6820    -.2154      8022.7430  -289247.8674
          5    27.3804    4.5246      6529.1344  -289854.2374
          6    13.0202   22.6662     15324.5972  -292748.7128
          7    16.5805    7.6208     -2867.0645  -282401.6022
          8    11.3770   *******     20696.3200  -289504.9952
          9    12.8641   12.7610     22394.9571  -291854.7570
         10     6.0700    4.5585     21874.7370  -283693.0985
         11    21.6897   15.2082     17796.2727  -284937.5058
         12    21.6378   -9.1170     19688.6638  -278362.2780
         13    17.2701    3.6886     13422.4571  -280906.3914
         14    16.3067   -2.2749      1946.3907  -278644.1429
         15    18.4534    -.9588      6410.9544  -278554.0368
         16    22.1161     .1475      9572.0731  -278594.1265
         17    32.7226    7.3188     -5978.1164  -281302.7012
         18    22.8157    3.1718     -8564.5463  -283226.3992
         19     8.5636    3.0943     -8373.3244  -278925.2057
         20    18.1022   -7.1540    -12208.3068  -286012.3670
         21    24.8691    9.3600    -10127.7929  -276349.8280
         22     6.2370   -2.2595      2602.8420  -285739.1285
         23    35.8838   -9.2713     -4469.4062  -285149.6873
         24    22.7242   11.7748     -2549.7788  -286734.9762
         25    32.1280   *******      6404.3510  -283568.7870
         26    14.1834   -4.1489      -473.1716  -278907.0629
         27     1.4743     .0624     -3270.7447  -277326.0326
         28    PONTO FIXO            14053.9570  -278736.9830
